,Comment,Result
0,RT on release of Trump Cohen secret recording At the time it was leaked it was privileged This is a very serious,negative
1,RT This after Trump didn t answer my questions on why Putin hadn t accepted his invitation to visit this fall yet https,neutral
2,Trump banned a reporter from a public press event for asking a question he didn t like What a candy ass Thin sk,negative
3,It s about time I heard these statement and I didn t need to see the person I knew it was You guys have,neutral
4,RT Everyone who works for Trump and speaks about him in public lies repeatedly because he would fire them if they didn,neutral
5,I think we should kick out of Haddam CT city council Another one with Trump Derangem,neutral
6,CNBC reports that Trump secures concessions from the EU to avoid a trade war EU agrees to import more,positive
7,RT elroy The Art of the Deal Just got dealt again How many times can you let people diss you Even if you re a coward like Tru,positive
8,RT BREAKING Harley Davidson now says that the average motorcycle will cost them 2200 more to produce thanks to Trump s Tar,positive
9,RT Everyone warned that Trump was a protectionist that would start a trade war with high tariffs But today he did just the o,positive
10,RT It seems to me that all of the violence and disruption that President Trump supposedly inspires is by the Dems and the,neutral
11,RT May 2017 Trump Bars U S Press but Not Russia s at Meeting With Russian Officials,neutral
12,Did Pal Putin Turn Trump Down White House Postpones Proposed Visit By Putin Citing Russia Witch Hunt NPR,negative
13,RT So asks When are The Evangelicals going to Stop supporting because he lies Seriously Does he,negative
14,RT Imagine if the FBI spent as much time investigating Hollywood as they did investigating Trump,positive
15,RT There s no question that Hillary Clinton committed a myriad of felony crimes and it made no sense to clear her the DOJ,positive
16,RT I ve liked some Presidents and I ve disliked some Presidents but I ve never ever been in a place where I didn t believe,positive
17,RT We wouldn t need billions in new federal spending if you lift the taxes tariffs Excessive government spending and rec,negative
18,RT Trump team tries to show spine on Russia via for iOS,negative
19,RT Sec Pompeo I saw the glee on your side walking away trying to make a political point from that Sen Menendez You want,negative
20,Retweeted JoeMyGod Franklin Graham Warns Media Spin Masters To Shut Up About Trump s Tape Or Face T,neutral
21,RT The left defended Bill Clinton when he cigared a 22 yr old intern in the Oval Office saying it was his personal life and non,positive
22,RT SO DISGUSTING that We Have People Living in Our Country At this Caliber Low amp Sick President Trump s W,negative
23,DEMs are so angry about President Trump s accomplishments that they can t ev n defeca,negative
24,RT The Trump administration s decision to allow designs for a 3D printed gun to be distributed freely online is baffling and,positive
25,Sounds as absolutely rock solid as Trump s agreements with South Korea and Putin whatever they were,positive
26,RT In response to question from Pompeo vaguely lists the things Trump and Putin purportedly talked about during t,negative
27,RT Very good news that Pres Trump amp EU Pres are reaching agreemnt on trade Its good news for soybean farmers for 2reasons,positive
28,RT Came home from work today and wanted to watch some news Turned on FOX and Shep was bashing Trump as usual Turned the TV o,negative
29,RT This is so stupid Trump created the problem causing great distress and now he s going to throw US taxpayer money at it,positive
30,After Trump eventually casts them off I can t wait for Dershowitz and Guiuliani to go on the road in a new product,positive
31,RT Putin orders Trump to await for the post election Chaos SaveDemocracy,neutral
32,RT Wow Secretary of State Pompeo refuses to say whether President Trump discussed relaxing sanctions on Russia with Putin,positive
33,RT BREAKING Rep Maxine Waters office has been evacuated after a package was received with the word Anthrax on it Remi,neutral
34,RT CNN says the W H took retaliatory action against Kaitlan Collins after she asked Trump questions during a photo op Qu,positive
35,RT Trump says Russia is going to attack the midterms to support Democrats Also the Joker loves Batman Sauron hates rings,neutral
36,RT READ The just dropped 100 pages of sworn testimony saying that immigrant parents are being pressured misled into,neutral
37,RT Menendez raising his voice says to Pompeo if Obama did what Trump did in Helsinki I d be peeling you off the Capitol ceilin,neutral
38,RT California has led the way on clean air by setting stronger emissions standards for cars Now Trump s EPA wants to revoke,positive
39,RT UnSilent In 1990 Trump sued the NFL for 1 2 billion dollars claiming the NFL was a monopoly amp that it ruined his investment in,neutral
40,RT UnSilent In 1990 Trump sued the NFL for 1 2 billion dollars claiming the NFL was a monopoly amp that it ruined his investment in,neutral
41,RT Religious freedom except when it comes to entry into the United States of America Just another way that Trump has completely,positive
42,RT A federal district court has just accepted our interpretation of The Emoluments Clause letting a case go forward charging Tr,neutral
43,RT BREAKING White House Trump delaying proposed next meeting with Russia s Putin until 2019 citing Mueller probe,neutral
44,RT nunca deixem esse v deo da kristen stewart mandando um recado para o trump cair no esquecimento,neutral
45,RT Many many people are saying that Putin actually cancelled the meeting at the White House amp Trump was so upset that he ha,positive
46,RT CNN want to chime in Wining and loving it VICTORY Europe Just CAVED to Trump s Tariffs via,positive
47,Being shocked that things get worse is like the story of the Trump administration tytlive,negative
48,RT Donald Trump s star on the Hollywood Walk of Fame was destroyed to pieces by a man with a pickax early Wednesday morning htt,positive
49,RT Breaking News EU agrees to cut tariffs and import more soybeans talking heads still spouting yesterday s guessing game Mean,negative
